index,cameraName,cameraIndexCode,gbIndexCode,channelNo,hlsUrl
1,C3进出,3740aad52b6f486dbae89e5bc6dab4bb,42011101581314000657,1,http://111.4.138.205:18080/hls/3740aad52b6f486dbae89e5bc6dab4bb/index.m3u8
2,C1进出,d8351b2aaf9d4d6b9aacbb3f3098ec74,42011101581314000656,8,http://111.4.138.205:18080/hls/d8351b2aaf9d4d6b9aacbb3f3098ec74/index.m3u8
3,D4道闸路段,ad0e8bedb9f446079f3a413e90770c79,42011101581314000655,4,http://111.4.138.205:18080/hls/ad0e8bedb9f446079f3a413e90770c79/index.m3u8
4,C座道闸,5a5395d4d45943a79e329d5a454b2725,42011101581314000654,16,http://111.4.138.205:18080/hls/5a5395d4d45943a79e329d5a454b2725/index.m3u8
5,NE进,1471d1e4be83489a834ae0505dbe7d21,42011101581314000653,4,http://111.4.138.205:18080/hls/1471d1e4be83489a834ae0505dbe7d21/index.m3u8
6,垃圾场南E地库出入口,8ce27637e2e04fb6b1ad54d6ad480197,42011101581314000652,5,http://111.4.138.205:18080/hls/8ce27637e2e04fb6b1ad54d6ad480197/index.m3u8
7,办公区,fe7493e888b649549eab708b80c46a89,42011101581314000649,1,http://111.4.138.205:18080/hls/fe7493e888b649549eab708b80c46a89/index.m3u8
8,A13配电室西门,162b3b45d5644070b49e8c4432a4d474,42011101581314000648,2,http://111.4.138.205:18080/hls/162b3b45d5644070b49e8c4432a4d474/index.m3u8
9,A13消防泵房东门外走廊,579877a1f2494f009ef1672887a22621,42011101581314000647,3,http://111.4.138.205:18080/hls/579877a1f2494f009ef1672887a22621/index.m3u8
10,监控室,f3fd5d422fb243e08cccf306a50bf5e2,42011101581314000646,4,http://111.4.138.205:18080/hls/f3fd5d422fb243e08cccf306a50bf5e2/index.m3u8
11,配电室,a84954d3b6874a07bd0dbb5c8e25655c,42011101581314000645,6,http://111.4.138.205:18080/hls/a84954d3b6874a07bd0dbb5c8e25655c/index.m3u8
12,9#-地下室消防水箱房101,4afc557060d94baa8c15af5d6635fe1d,42011101581314000644,9,http://111.4.138.205:18080/hls/4afc557060d94baa8c15af5d6635fe1d/index.m3u8
13,9#-地下室（消防水泵房）126,da83d16f51744846a4bac33831822c8d,42011101581314000643,22,http://111.4.138.205:18080/hls/da83d16f51744846a4bac33831822c8d/index.m3u8
14,9#-地下室（配电室）104,d0f1b19451424016b5c6bfb3de53fa02,42011101581314000642,34,http://111.4.138.205:18080/hls/d0f1b19451424016b5c6bfb3de53fa02/index.m3u8
15,消防监控室139,61268cb9c99640afb3daf1b9846e59a4,42011101581314000639,1,http://111.4.138.205:18080/hls/61268cb9c99640afb3daf1b9846e59a4/index.m3u8
16,监控室,c8eade3365a9489698ff7ee5ad0da9da,42011101581314000635,6,http://111.4.138.205:18080/hls/c8eade3365a9489698ff7ee5ad0da9da/index.m3u8
